Symbol,Name,Exchange,Type,Currency,Market Cap,Analyst,Action,Rating,Closing Price,Target Price,Date
TWTR,Twitter, Inc,NYE,Common Stock,USD ,56094191616,Citigroup,Target Raised by,,69.25,80,03/16/2021
TWTR,Twitter, Inc,NYE,Common Stock,USD ,61505671168,Morgan Stanley,Target Raised by,Equal Weight,77.63,75,03/01/2021
TWTR,Twitter, Inc,NYE,Common Stock,USD ,61505671168,Morgan Stanley,Maintains,Equal-Weight,77.63,75,03/01/2021
TWTR,Twitter, Inc,NYE,Common Stock,USD ,61505671168,Cleveland Research,Upgraded by,Neutral - Buy,77.63,,03/01/2021
TWTR,Twitter, Inc,NYE,Common Stock,USD ,59534229504,Goldman Sachs,Target Raised by,Buy,77.06,112,02/26/2021
TWTR,Twitter, Inc,NYE,Common Stock,USD ,59534229504,Pivotal Research,Target Raised by,Buy,77.06,95,02/26/2021
TWTR,Twitter, Inc,NYE,Common Stock,USD ,59534229504,JPMorgan Chase,Reiterated by,Overweight,77.06,91,02/26/2021
TWTR,,,,USD ,0,Piper Sandler,Target Raised by,,,71,02/26/2021
TWTR,Twitter, Inc,NYE,Common Stock,USD ,59534229504,Mizuho Securities,Target Raised by,Neutral,77.06,67,02/26/2021
TWTR,Twitter, Inc,NYE,Common Stock,USD ,59534229504,KeyBanc,Target Raised by,Overweight,77.06,90,02/26/2021
