,Recent headlines and conversations for MA,Polarity
0,"Pragma Gestao De Patrimonio Ltd Buys Twilio Inc, Alibaba Group Holding, Shopify Inc, Sells ...",0.575
1,NEWSMAKER-Record penalty for Ma's Alibaba marks tumultuous stretch for its founder,-0.1709
2,Fintech Marqeta Files to Go Public -- Here's What You Need to Know,0.102
3,"Putnam Investments Llc Buys Applied Materials Inc, Corteva Inc, Deere, Sells Qualcomm Inc, ...",0.1247
4,Yo-Yo Ma plays a piece for USA TODAYstaff video,0.46
5,Ma'Khia Bryant's court records raise questions about the system's custodyJohn Futty,0.3866
6,"Maplelane Capital, Llc Buys Applied Materials Inc, Visa Inc, Mastercard Inc, Sells Palantir ...",0.0106
7,"Temasek Holdings (private) Ltd Buys Lumen Technologies Inc, Roblox Corp, ContextLogic Inc, ...",0.1457
8,"Valley Forge Advisors, LLC Buys Mastercard Inc, S&P Global Inc, Moody's Corporation",0.3869
9,"Caxton Corp Buys Savara Inc, Kala Pharmaceuticals Inc, Ares Acquisition Corp, Sells XL Fleet ...",0.4533
10,"Lunia Capital LP Buys Mastercard Inc, Sells Alphabet Inc, Automatic Data Processing Inc, Fiserv Inc",0.0968
11,Yo-Yo Ma preview,-0.0381
12,"Breakline Capital Llc Buys Applied Materials Inc, ASML Holding NV, Mastercard Inc, Sells Global ...",0.2689
13,Market Down? Here's 1 Stock to Own for the Long Term,0.4481
14,Better Buy: Mastercard vs. Visa,0.5047
15,"Farallon Capital Management Llc Buys Willis Towers Watson PLC, Mastercard Inc, GW ...",0.0686
16,MobilityOne Limited : MasterCard licensing and SWIFT membership approval,0.7756
17,Empowerment group explains Black girlhood in wake of Ma'Khia Bryant's shootingSeyma Bayram,0.3357
18,"Center Lake Capital Management, LLC Buys Alphabet Inc, Mastercard Inc, Facebook Inc, Sells ...",0.5929
19,"Sycomore Asset Management Buys Stellantis NV, VF Corp, Deutsche Bank AG, Sells Ferrari NV, ...",0.707
20,"Top Stock Reports for Mastercard, Home Depot & Walt Disney",0.5515
21,"TenCore Partners, LP Buys Microsoft Corp, Okta Inc, DoorDash Inc, Sells Mastercard Inc, ...",0.1804
22,The global chip shortage has come for iPads and Macs,-0.0471
23,Alibaba's Jack Ma makes first public appearance in three months,-0.0259
24,"Yo-Yo Ma: COVID, hope and 'brain real estate'staff video",0.4541
25,Chinese state newspaper omits Jack Ma from list of entrepreneurial leaders,0.1938
26,"Race, music, strong women at heart of movie 'Ma Rainey'",0.7968
27,"Soroban Capital Partners LLC Buys Domino's Pizza Inc, IHS Markit, Visa Inc, Sells Yum Brands ...",0.1766
28,"Tiger Management Buys Microsoft Corp, SLM Corp, Mastercard Inc, Sells Alliance Data Systems ...",0.6931
29,Massachusetts police department apologizes for Facebook post that applauded Derek ChauvinAudrey Cooney and Christine Fernando,0.6396
30,Record penalty for Ma's Alibaba marks tumultuous stretch for its founder,-0.0248
31,"Fact check: Resolved lawsuits against Pfizer alleged marketing fraud, data manipulationAdrienne Dunn",-0.6493
32,"Candlestick Capital Management LP Buys McDonald's Corp, Sysco Corp, International Flavors & ...",0.358
33,"The Zacks Analyst Blog Highlights: Mastercard, Home Depot, Disney, Netflix and Medtronic",0.2936
34,"Cop killing of teen shows how child welfare, police derail young Black and brown livesMarcía Hopkins and Susan Vivian Mangold",-0.4852
35,CORRECTED-Jack Ma's disappearing act fuels speculation about billionaire's whereabouts,0.1611
36,"Castleark Management Llc Buys Charles Schwab Corp, SPDR S&P Regional Banking ETF, Southwest ...",0.1726
37,Cellist Yo-Yo Ma offers 'Songs of Comfort and Hope' in duo album,0.6146
38,"Yo-Yo Ma talks COVID, hope and anti-Asian hate: 'Why is anybody surprised?'Jill Lawrence",-0.2085
39,"Mikayla Miller, a Black teen whose body was found in a Boston suburb, died by suicide, medical examiner rulesNorman Miller",-0.7847
40,Square Stock Remains Charged With Years Worth of Potential,0.2986
41,"'Highly suspicious': Mikayla Miller's mother, civil rights leaders dispute medical examiner's ruling; police release recordsNorman Miller",0.6704
42,Mastercard (MA) Forays Into Crypto Space With CriptanCard,0.0542
43,"Titan Global Capital Management Usa Llc Buys ProShares Short S&P500, Facebook Inc, Fidelity ...",-0.3249
44,"Nomura Holdings Inc Buys Marathon Petroleum Corp, Mastercard Inc, Alibaba Group Holding, Sells ...",0.5468
45,Jack Ma discounts value of tech-boss charisma,0.3507
46,"Benzinga's Top Ratings Upgrades, Downgrades For May 18, 2021",0.009
47,'Throw the whole map away': People are up in arms over best and worst barbecue city rankingsJordan Mendoza,0.0313
48,"Athanor Capital, LP Buys WisdomTree Emerging Markets ex-State-Owned Enterpr, Slack Technologies ...",-0.1346
49,Jalen Rose broke into tears while honoring his mother on 'NBA Countdown'Chris Korman,0.0977
50,"Elizabeth Olsen, 'WandaVision' takes home four MTV Awards; Chadwick Boseman wins best performancePamela Avila, Cydney Henderson and Anika Reed",0.9231
51,"What to stream this weekend: Netflix's 'Army of the Dead,' Amazon Prime's Pink documentaryBrian Truitt",0.4977
52,5 Unbeatable Stocks to Buy for a Biden Bull Market,0.1005
53,"Northstar Investment Advisors Llc Buys Vanguard Total Stock Market ETF, Berkshire Hathaway Inc, ...",0.5516
