,Recent headlines and conversations for UA,Polarity
0,"Zacks Industry Outlook Highlights: Ralph Lauren, Under Armour, Columbia Sportswear, Crocs and G-III Apparel",0.7128
1,Elbit Systems gets $160 mln European UAS deal,-0.1501
2,BRIEF-Under Armour launches 'UA Shop' mobile app,0.5747
3,BRIEF-Under Armour Inc confirms there is a partnership between co and UCLA - UA media relations,0.7326
4,"Hedgeye: Oatly could be next Chipotle, Lululemon or Under Armour after this week’s IPO",0.1765
5,50 awesome gifts that men actually wantAmanda Tarlton,0.6435
6,"7 Companies Jumping on the $15 Minimum Wage Train: UA, CMG, AMZN, TGT, COST, BAC, BBY",0.1219
7,AI Identifies MSCI And Under Armour Among Today’s Trending Stocks,0.0231
8,"Plaisance Capital LLC Buys Denny's Corp, Under Armour Inc, Kirby Corp, Sells The St. ...",0.5996
9,"SRS Investment Management, LLC Buys MGM Resorts International, Baidu Inc, Under Armour Inc, ...",0.7072
10,"Under Armour, Inc. -- Moody's changes Under Armour's outlook to positive; affirms Ba3 CFR",0.4107
11,Update-Moody's withdraws Privatbank's Ba3.ua rating,0.0125
12,BRIEF-Insitu sells first commercial UAS software package to University Of Nevada,0.0459
13,Under Armour will raise its minimum wage to $15,0.0613
14,BRIEF-Under armour unveils new UA record equipped running shoes,0.3791
15,'We need positive action:' 49 women ambassadors speak out for equality as part of recovery from pandemic49 Women Ambassadors to the United Nations in New York,0.8625
